,period_begin,period_end,duration,total_homes_sold,median_sale_price,median_days_to_close,price_drops,percent_active_listings_with_price_drops,pending_sales,total_new_listings,average_new_listings,median_new_listing_price,inventory,total_active_listings,age_of_inventory,homes_delisted,median_active_list_price,avg_offer_to_list,median_days_on_market,months_of_supply,percent_total_price_drops_of_inventory
958,2019-05-06,2019-05-12,1 weeks,510.0,202000.0,29.0,447.0,0.055191999012223734,487.0,844.0,844.0,234949.5,7406.0,8099.0,46.0,119.0,249900.0,1.0043628539691851,36.0,15.880392156862746,0.060356467728868476
1382,2017-11-13,2017-11-19,1 weeks,566.0,200000.0,34.0,159.0,0.017461014715572154,333.0,491.0,491.0,179999.0,8524.0,9106.0,73.0,147.0,205000.0,0.980213986824592,50.0,16.088339222614838,0.018653214453308302
3254,2018-10-01,2018-10-07,1 weeks,419.0,185000.0,34.0,656.0,0.08709506107275622,375.0,698.0,698.0,205000.0,6911.0,7532.0,58.0,165.0,219700.0,0.9531616166064284,28.0,17.976133651551315,0.09492114021125743
4132,2020-08-10,2020-08-16,1 weeks,608.0,250000.0,31.0,411.0,0.05733017157204631,491.0,787.0,787.0,250000.0,6442.0,7169.0,46.0,143.0,279900.0,0.9644999202639368,31.0,11.791118421052632,0.06380006209251785
4136,2020-09-14,2020-09-20,1 weeks,662.0,245000.0,32.0,466.0,0.06261757592045149,536.0,809.0,809.0,275000.0,6696.0,7442.0,46.0,127.0,285000.0,0.9760238230421868,28.0,11.241691842900302,0.06959378733572281
5877,2018-11-26,2018-12-02,1 weeks,711.0,199999.0,34.0,372.0,0.051853916922219134,325.0,504.0,504.0,193750.0,6521.0,7174.0,66.0,225.0,212000.0,0.9630610362945554,32.0,10.090014064697607,0.05704646526606349
7648,2019-11-04,2019-11-10,1 weeks,409.0,220000.0,28.0,477.0,0.060318664643399085,403.0,620.0,620.0,214900.0,7204.0,7908.0,60.0,168.0,249000.0,0.9592631464016133,42.0,19.33496332518337,0.06621321488062187
12273,2018-01-15,2018-01-21,1 weeks,424.0,185500.0,34.0,129.0,0.017501017501017502,297.0,526.0,526.0,175000.0,6768.0,7371.0,91.0,148.0,199900.0,0.9731032199525622,68.5,17.38443396226415,0.019060283687943262
16927,2018-07-09,2018-07-15,1 weeks,592.0,220500.0,36.0,413.0,0.05538420276250503,440.0,731.0,731.0,219000.0,6778.0,7457.0,55.0,145.0,227500.0,0.9655496354096099,28.0,12.596283783783786,0.06093242844496901
17856,2020-02-24,2020-03-01,1 weeks,622.0,225000.0,28.0,315.0,0.04716274891450816,355.0,727.0,727.0,250000.0,6039.0,6679.0,49.0,135.0,250000.0,0.9835741667885258,56.0,10.737942122186496,0.05216095380029806
24049,2019-11-25,2019-12-01,1 weeks,448.0,210000.0,28.0,217.0,0.02981588348447376,230.0,308.0,308.0,195000.0,6813.0,7278.0,67.0,160.0,249900.0,0.9598480280564292,37.0,16.245535714285715,0.031850873330397766
25002,2017-09-11,2017-09-17,1 weeks,516.0,180500.0,38.0,196.0,0.020875492597720736,334.0,704.0,704.0,209900.0,8786.0,9389.0,73.0,145.0,195000.0,0.9866913672237809,37.5,18.195736434108525,0.022308217618939214
26933,2020-03-16,2020-03-22,1 weeks,473.0,250000.0,29.0,215.0,0.030661722760981176,339.0,611.0,611.0,235000.0,6407.0,7012.0,45.0,167.0,250000.0,0.9873445418003126,42.0,14.824524312896404,0.03355704697986577
29691,2017-02-06,2017-02-12,1 weeks,349.0,143000.0,35.0,139.0,0.015916638039619832,349.0,736.0,736.0,179900.0,8165.0,8733.0,93.0,82.0,169900.0,0.9718531101883308,52.0,25.022922636103157,0.01702388242498469
30606,2017-10-09,2017-10-15,1 weeks,396.0,172500.0,35.0,188.0,0.020167346063076592,317.0,611.0,611.0,204994.5,8731.0,9322.0,73.0,148.0,205000.0,0.9383437202010804,41.0,23.540404040404038,0.02153247050738747
30613,2020-10-12,2020-10-18,1 weeks,609.0,250000.0,31.0,493.0,0.06703834647810715,513.0,767.0,767.0,269900.0,6573.0,7354.0,47.0,176.0,299000.0,1.0483715874409465,32.0,12.075533661740556,0.07500380343830823
33422,2017-05-01,2017-05-07,1 weeks,504.0,219493.5,36.0,201.0,0.020719513452221425,505.0,860.0,860.0,219900.0,8972.0,9701.0,59.0,95.0,189900.0,0.9536353640024692,39.0,19.248015873015877,0.022403031654034768
33426,2018-09-03,2018-09-09,1 weeks,356.0,198450.0,33.0,442.0,0.06041552761071624,314.0,667.0,667.0,225000.0,6806.0,7316.0,58.0,134.0,219000.0,0.9487253708386189,31.0,20.55056179775281,0.06494269761974727
33428,2018-04-02,2018-04-08,1 weeks,383.0,195000.0,31.0,327.0,0.044538272950149824,527.0,850.0,850.0,225000.0,6597.0,7342.0,52.0,105.0,214900.0,0.9728937088263244,44.0,19.16971279373368,0.04956798544793088
36377,2020-08-03,2020-08-09,1 weeks,483.0,251000.0,30.0,407.0,0.05701078582434515,489.0,699.0,699.0,259900.0,6397.0,7139.0,46.0,147.0,279000.0,0.985211731195995,34.0,14.780538302277431,0.0636235735501016
36379,2019-03-11,2019-03-17,1 weeks,419.0,200000.0,26.0,356.0,0.048773804630771335,402.0,763.0,763.0,234999.5,6642.0,7299.0,53.0,134.0,229900.0,0.9818381532546956,54.0,17.420047732696897,0.05359831376091538
36381,2018-11-05,2018-11-11,1 weeks,411.0,185000.0,33.0,467.0,0.06259214582495644,356.0,503.0,503.0,196000.0,6851.0,7461.0,60.0,163.0,219900.0,0.9334095157952642,37.0,18.153284671532848,0.06816523135308714
37332,2018-10-22,2018-10-28,1 weeks,447.0,196000.0,33.0,481.0,0.06340627471658318,352.0,610.0,610.0,195000.0,6974.0,7586.0,57.0,159.0,219900.0,0.9463610174463994,33.0,16.97091722595078,0.06897046171494121
39263,2018-03-26,2018-04-01,1 weeks,724.0,202500.0,31.0,275.0,0.037941501103752766,442.0,671.0,671.0,215000.0,6522.0,7248.0,53.0,145.0,209880.0,0.9965069180926543,39.0,10.011049723756908,0.04216498006746397
40328,2018-08-20,2018-08-26,1 weeks,509.0,215000.0,35.0,344.0,0.04675183473770046,365.0,636.0,636.0,190000.0,6768.0,7358.0,59.0,146.0,219900.0,0.9847618628328576,31.0,14.455795677799607,0.0508274231678487
44332,2017-07-03,2017-07-09,1 weeks,317.0,209600.0,38.0,122.0,0.012941550864538028,312.0,552.0,552.0,189900.0,8922.0,9427.0,68.0,102.0,189999.5,0.9592231629336329,36.0,29.738170347003155,0.013674064111185831
49303,2020-02-17,2020-02-23,1 weeks,375.0,204900.0,27.0,303.0,0.046493785484118456,307.0,683.0,683.0,239900.0,5970.0,6517.0,55.0,108.0,249900.0,0.9906919781846172,62.0,17.378666666666668,0.05075376884422112
51320,2018-07-30,2018-08-05,1 weeks,696.0,200000.0,36.0,373.0,0.049899665551839466,413.0,728.0,728.0,190000.0,6793.0,7475.0,55.0,184.0,224900.0,0.9621936971206528,29.0,10.739942528735632,0.054909465626380084
52348,2019-06-17,2019-06-23,1 weeks,606.0,237250.0,31.0,499.0,0.06072775952294025,468.0,712.0,712.0,231000.0,7500.0,8217.0,52.0,145.0,249000.0,1.0054725987665838,35.0,13.559405940594061,0.06653333333333332
64852,2019-12-23,2019-12-29,1 weeks,275.0,190000.0,25.0,120.0,0.01910219675262656,166.0,175.0,175.0,168000.0,5940.0,6282.0,80.0,109.0,245000.0,0.9781791199218032,48.0,22.843636363636364,0.020202020202020204
64854,2018-10-08,2018-10-14,1 weeks,388.0,196000.0,30.5,487.0,0.06453750331301353,345.0,650.0,650.0,215000.0,6988.0,7546.0,57.0,132.0,219900.0,,37.0,19.448453608247426,0.06969089868345736
76960,2017-12-18,2017-12-24,1 weeks,550.0,180500.0,26.5,74.0,0.009260417970216494,262.0,284.0,284.0,178749.5,7440.0,7991.0,87.0,167.0,199900.0,0.9561313831989062,60.5,14.529090909090908,0.009946236559139784
76963,2019-06-10,2019-06-16,1 weeks,560.0,245000.0,29.0,458.0,0.055677121322635546,452.0,736.0,736.0,225000.0,7523.0,8226.0,51.0,159.0,247900.0,0.9924731281997029,37.0,14.689285714285715,0.06087996809783331
77892,2018-01-01,2018-01-07,1 weeks,248.0,190500.0,28.0,110.0,0.014830794121612513,183.0,383.0,383.0,192449.5,6997.0,7417.0,89.0,162.0,199900.0,0.984721322993928,57.5,29.907258064516128,0.01572102329569816
82882,2017-06-26,2017-07-02,1 weeks,1041.0,215000.0,38.0,152.0,0.015695993391160682,444.0,723.0,723.0,176500.0,8905.0,9684.0,66.0,200.0,189900.0,0.9556403284684404,32.0,9.302593659942367,0.017069062324536782
82883,2020-07-13,2020-07-19,1 weeks,595.0,260000.0,29.0,425.0,0.05894590846047156,448.0,787.0,787.0,260000.0,6505.0,7210.0,46.0,137.0,275000.0,0.96411459037736,39.0,12.117647058823529,0.06533435818601076
87941,2017-09-04,2017-09-10,1 weeks,383.0,173000.0,33.0,188.0,0.020230280856558692,342.0,692.0,692.0,219900.0,8723.0,9293.0,75.0,112.0,194900.0,0.9566416315283824,42.0,24.26370757180157,0.021552218273529745
89656,2018-11-12,2018-11-18,1 weeks,498.0,204750.0,33.0,397.0,0.053962212858502105,354.0,514.0,514.0,184900.0,6768.0,7357.0,62.0,144.0,219000.0,0.9601347555656612,37.0,14.773092369477911,0.058658392434988174
92119,2020-08-24,2020-08-30,1 weeks,675.0,240000.0,31.0,414.0,0.057064093728463126,504.0,808.0,808.0,259900.0,6536.0,7255.0,45.0,133.0,279999.0,0.9836985017238464,32.0,10.748148148148148,0.06334149326805386
94981,2018-06-11,2018-06-17,1 weeks,673.0,212000.0,38.0,392.0,0.05159252434851277,511.0,764.0,764.0,210000.0,6846.0,7598.0,50.0,154.0,227500.0,0.9756746736282712,27.0,11.289747399702824,0.057259713701431486
95893,2017-05-29,2017-06-04,1 weeks,756.0,208500.0,37.0,165.0,0.01698404529078744,463.0,708.0,708.0,194900.0,8963.0,9715.0,62.0,154.0,189900.0,0.9909564248604524,34.0,12.850529100529098,0.018409014838781657
129342,2018-06-18,2018-06-24,1 weeks,632.0,220250.0,37.0,420.0,0.05524135209785611,499.0,767.0,767.0,210000.0,6865.0,7603.0,51.0,154.0,225000.0,1.0038965388619747,27.0,12.030063291139241,0.06117989803350327
129429,2017-08-21,2017-08-27,1 weeks,530.0,199250.0,34.0,146.0,0.015579980791804502,373.0,625.0,625.0,179900.0,8758.0,9371.0,73.0,127.0,189900.0,0.9264733131568031,40.0,17.681132075471698,0.016670472710664536
129480,2020-10-26,2020-11-01,1 weeks,710.0,251000.0,31.0,424.0,0.05885619100499723,507.0,707.0,707.0,239900.0,6393.0,7204.0,47.0,234.0,299900.0,0.9896628760718456,35.0,10.146478873239435,0.06632254027842953
129481,2019-04-15,2019-04-21,1 weeks,506.0,210000.0,27.0,370.0,0.047417659874407284,450.0,708.0,708.0,219977.5,7144.0,7803.0,48.0,105.0,239900.0,0.9998272816698782,38.0,15.420948616600793,0.051791713325867864
129552,2017-04-17,2017-04-23,1 weeks,450.0,190450.0,33.0,210.0,0.02191609267376331,459.0,882.0,882.0,219000.0,8902.0,9582.0,58.0,93.0,189000.0,0.9716898656389508,38.0,21.293333333333333,0.02359020444843856
129620,2017-09-18,2017-09-24,1 weeks,470.0,188500.0,36.0,206.0,0.021891604675876728,334.0,675.0,675.0,220000.0,8838.0,9410.0,73.0,124.0,199900.0,0.94403985979033,40.5,20.02127659574468,0.02330844082371577
129738,2018-03-12,2018-03-18,1 weeks,435.0,200000.0,38.0,354.0,0.04717484008528785,462.0,805.0,805.0,199000.0,6753.0,7504.0,53.0,129.0,205000.0,0.9441835423443196,55.0,17.25057471264368,0.05242114615726344
129745,2017-01-02,2017-01-08,1 weeks,247.0,169900.0,33.0,133.0,0.015566479400749062,201.0,487.0,487.0,172500.0,7977.0,8544.0,97.0,258.0,165000.0,0.9925915665957644,56.0,34.59109311740891,0.016672934687225773
129779,2017-04-03,2017-04-09,1 weeks,395.0,199000.0,35.0,152.0,0.01606425702811245,465.0,860.0,860.0,215500.0,8769.0,9462.0,58.0,98.0,188000.0,0.9945024239833196,41.0,23.95443037974684,0.017333789485688218
129879,2019-09-16,2019-09-22,1 weeks,502.0,190250.0,31.0,514.0,0.06500569115973187,357.0,699.0,699.0,224900.0,7292.0,7907.0,60.0,156.0,247000.0,0.9541121855054212,41.0,15.750996015936256,0.07048820625342841
130033,2017-06-12,2017-06-18,1 weeks,730.0,225000.0,39.0,157.0,0.01624081928209372,522.0,714.0,714.0,199000.0,8904.0,9667.0,65.0,128.0,189900.0,1.0,35.0,13.242465753424652,0.017632524707996405
130034,2019-09-09,2019-09-15,1 weeks,451.0,195000.0,28.0,471.0,0.05993891575464495,372.0,759.0,759.0,239900.0,7222.0,7858.0,61.0,152.0,245000.0,1.0039133276485106,36.0,17.423503325942345,0.06521739130434782
130119,2019-12-16,2019-12-22,1 weeks,643.0,209900.0,29.0,231.0,0.034518828451882845,287.0,334.0,334.0,189000.0,6109.0,6692.0,74.0,188.0,245000.0,0.92,42.0,10.40746500777605,0.037813062694385335
130191,2018-12-24,2018-12-30,1 weeks,377.0,199900.0,29.0,141.0,0.02205537306428907,155.0,177.0,177.0,169900.0,6015.0,6393.0,79.0,144.0,209900.0,0.9587693679696124,36.0,16.957559681697614,0.02344139650872818
130192,2019-08-05,2019-08-11,1 weeks,444.0,220000.0,26.5,452.0,0.05815748841996912,370.0,632.0,632.0,219900.0,7118.0,7772.0,58.5,177.0,239900.0,0.9496081211278098,38.0,17.504504504504506,0.06350098342230964
130288,2018-01-29,2018-02-04,1 weeks,488.0,195500.0,29.0,135.0,0.0185007537344114,300.0,561.0,561.0,185000.0,6591.0,7297.0,89.0,213.0,199900.0,0.9588479328421576,64.0,14.952868852459016,0.02048247610377788
130387,2020-01-20,2020-01-26,1 weeks,315.0,190000.0,35.0,280.0,0.044593088071348944,249.0,583.0,583.0,234750.0,5803.0,6279.0,80.0,117.0,249000.0,0.9658310146558344,51.0,19.933333333333334,0.048250904704463214
130390,2017-07-31,2017-08-06,1 weeks,623.0,211000.0,38.0,171.0,0.01775516561104766,416.0,719.0,719.0,169000.0,8879.0,9631.0,72.0,204.0,189000.0,0.939238292658603,36.0,15.459069020866776,0.01925892555467958
130621,2018-01-22,2018-01-28,1 weeks,314.0,168750.0,34.0,122.0,0.01668261999179543,292.0,564.0,564.0,200000.0,6781.0,7313.0,91.0,120.0,199900.0,0.9600053609836919,55.0,23.28980891719745,0.017991446689278868
130625,2020-05-11,2020-05-17,1 weeks,271.0,232500.0,41.0,164.0,0.026653664878920853,205.0,478.0,478.0,265000.0,5801.0,6153.0,76.0,79.0,254950.0,0.9717205461020056,36.0,22.70479704797048,0.02827098776073092
130651,2019-12-02,2019-12-08,1 weeks,538.0,221200.0,31.5,355.0,0.0490466979828682,330.0,440.0,440.0,199999.0,6597.0,7238.0,68.0,199.0,249000.0,0.9493399082407548,41.0,13.453531598513012,0.05381233894194331
130705,2017-06-19,2017-06-25,1 weeks,627.0,198000.0,38.0,198.0,0.02059282371294852,427.0,747.0,747.0,199900.0,8988.0,9615.0,66.0,116.0,192697.5,0.9482483183307416,32.0,15.334928229665072,0.022029372496662217
131188,2018-09-24,2018-09-30,1 weeks,680.0,184400.0,33.0,551.0,0.07360406091370557,370.0,653.0,653.0,204900.0,6849.0,7486.0,58.0,182.0,219790.0,0.9366190809406602,30.5,11.008823529411767,0.08044970068623156
186308,2017-01-30,2017-02-05,1 weeks,457.0,164500.0,33.0,123.0,0.014242704955998147,284.0,690.0,690.0,179400.0,8030.0,8636.0,94.0,154.0,169900.0,0.9971488005624288,72.0,18.89715536105033,0.01531755915317559
186340,2020-02-03,2020-02-09,1 weeks,287.0,210000.0,28.0,309.0,0.048508634222919934,298.0,629.0,629.0,229900.0,5819.0,6370.0,74.0,105.0,249000.0,0.9942397220461504,53.0,22.195121951219512,0.053101907544251585
186354,2017-07-17,2017-07-23,1 weeks,592.0,185000.0,36.5,165.0,0.017237776849143342,423.0,663.0,663.0,189900.0,8936.0,9572.0,72.0,110.0,189000.0,0.9573261779854748,37.0,16.16891891891892,0.018464637421665167
186372,2017-02-20,2017-02-26,1 weeks,363.0,149000.0,31.0,132.0,0.014778325123152709,331.0,739.0,739.0,184900.0,8372.0,8932.0,82.0,84.0,173000.0,0.9563654587535309,56.0,24.60606060606061,0.015766841853798376
186375,2017-01-23,2017-01-29,1 weeks,364.0,165000.0,37.5,138.0,0.016273584905660374,262.0,534.0,534.0,183450.0,7985.0,8480.0,97.0,107.0,169900.0,0.9550756735212694,57.0,23.296703296703296,0.01728240450845335
186388,2020-07-27,2020-08-02,1 weeks,784.0,244250.0,29.5,413.0,0.05653661875427789,532.0,791.0,791.0,255000.0,6456.0,7305.0,45.0,198.0,275000.0,1.0035178652015322,35.0,9.317602040816329,0.0639714993804213
186395,2018-10-15,2018-10-21,1 weeks,451.0,205000.0,36.0,474.0,0.06208251473477407,371.0,663.0,663.0,179700.0,6994.0,7635.0,58.0,170.0,219000.0,0.931547332301088,28.5,16.929046563192905,0.06777237632256218
186408,2019-07-15,2019-07-21,1 weeks,606.0,238000.0,28.0,459.0,0.055670103092783516,551.0,674.0,674.0,219900.0,7401.0,8245.0,55.0,135.0,239900.0,0.968398167322845,42.0,13.605610561056109,0.0620186461289015
186432,2018-07-16,2018-07-22,1 weeks,596.0,209450.0,37.0,422.0,0.056973133522343726,394.0,649.0,649.0,195000.0,6783.0,7407.0,54.0,139.0,225000.0,0.9572279635258358,28.0,12.427852348993287,0.06221435942798172
186485,2017-12-11,2017-12-17,1 weeks,596.0,214450.0,31.0,103.0,0.012359011279097672,284.0,363.0,363.0,162500.0,7721.0,8334.0,83.0,175.0,199999.0,0.9412241092530657,57.5,13.983221476510069,0.013340240901437638
186502,2019-09-23,2019-09-29,1 weeks,532.0,210000.0,29.0,536.0,0.06767676767676767,349.0,638.0,638.0,229900.0,7313.0,7920.0,59.0,139.0,249500.0,0.9874470267211988,35.0,14.887218045112787,0.0732941337344455
186509,2017-03-27,2017-04-02,1 weeks,713.0,180000.0,36.0,144.0,0.015254237288135594,478.0,893.0,893.0,210950.0,8636.0,9440.0,59.0,165.0,185000.0,0.9826318821120938,40.0,13.239831697054699,0.01667438628994905
186511,2018-02-19,2018-02-25,1 weeks,323.0,160000.0,28.0,137.0,0.018239914791638927,289.0,712.0,712.0,194450.0,6958.0,7511.0,74.0,125.0,200000.0,0.9686250076576279,75.0,23.253869969040252,0.019689565967231964
186513,2018-07-23,2018-07-29,1 weeks,637.0,206000.0,35.0,389.0,0.052256851155292855,424.0,676.0,676.0,199900.0,6766.0,7444.0,55.0,141.0,225000.0,0.9827253096942836,29.0,11.686028257456828,0.05749334909843335
186553,2019-06-24,2019-06-30,1 weeks,917.0,239000.0,29.0,452.0,0.054847712656231035,467.0,760.0,760.0,209950.0,7488.0,8241.0,53.0,175.0,244000.0,0.9847511759480476,37.0,8.98691384950927,0.06036324786324785
186565,2018-06-25,2018-07-01,1 weeks,1005.0,215000.0,37.0,474.0,0.06277314263011521,474.0,704.0,704.0,214900.0,6786.0,7551.0,52.0,193.0,226000.0,0.9180647464285129,27.0,7.513432835820897,0.06984969053934571
186573,2020-09-21,2020-09-27,1 weeks,593.0,255000.0,31.0,492.0,0.0658458244111349,551.0,782.0,782.0,270000.0,6679.0,7472.0,46.0,146.0,289900.0,0.9592965614177662,33.0,12.60033726812816,0.07366372211408892
186578,2019-10-21,2019-10-27,1 weeks,409.0,206000.0,29.0,521.0,0.06461614783579313,369.0,595.0,595.0,229700.0,7456.0,8063.0,58.0,123.0,247250.0,0.9730221834618349,37.5,19.713936430317847,0.06987660944206009
186611,2020-05-25,2020-05-31,1 weeks,300.0,240000.0,34.0,270.0,0.040516206482593034,326.0,684.0,684.0,275000.0,6107.0,6664.0,80.0,134.0,259900.0,0.9830543344245136,42.0,22.21333333333333,0.04421156050433928
186613,2017-08-07,2017-08-13,1 weeks,478.0,189000.0,35.0,146.0,0.01534258091635141,390.0,673.0,673.0,184900.0,8857.0,9516.0,71.0,145.0,189900.0,0.9437751004016066,42.0,19.90794979079498,0.016484136840916788
186649,2018-03-19,2018-03-25,1 weeks,401.0,196000.0,34.0,304.0,0.041270703231061634,489.0,647.0,647.0,219900.0,6606.0,7366.0,53.0,133.0,209900.0,0.965721819380356,36.0,18.369077306733168,0.046018770814411136
186656,2017-11-20,2017-11-26,1 weeks,331.0,157000.0,28.0,90.0,0.010200612036722205,228.0,311.0,311.0,165000.0,8387.0,8823.0,77.0,116.0,204899.0,0.9828300368326368,54.0,26.655589123867067,0.010730893048765948
252869,2019-05-20,2019-05-26,1 weeks,531.0,215000.0,28.0,423.0,0.05139108249301422,500.0,637.0,637.0,215000.0,7526.0,8231.0,48.0,110.0,249500.0,0.9490140131910134,30.0,15.500941619585689,0.05620515546106829
252871,2020-04-27,2020-05-03,1 weeks,511.0,240000.0,38.0,120.0,0.020280547574784518,161.0,306.0,306.0,274900.0,5605.0,5917.0,72.0,97.0,250000.0,0.9428551605574504,36.0,11.579256360078276,0.02140945584299732
252882,2019-02-04,2019-02-10,1 weeks,230.0,182000.0,29.0,316.0,0.04666962044011224,296.0,659.0,659.0,218750.0,6219.0,6771.0,73.0,147.0,214900.0,0.9740711817518286,47.0,29.43913043478261,0.050812027657179605
252885,2017-07-24,2017-07-30,1 weeks,697.0,200000.0,37.0,161.0,0.016788321167883213,371.0,677.0,677.0,189000.0,8943.0,9590.0,73.0,168.0,189000.0,0.9693178672448671,33.0,13.75896700143472,0.01800290730180029
252886,2017-06-05,2017-06-11,1 weeks,518.0,199950.0,38.0,181.0,0.0187603648424544,463.0,717.0,717.0,215450.0,8988.0,9648.0,65.0,97.0,189900.0,0.9837726169922144,35.0,18.625482625482626,0.020137961726746773
252905,2019-12-09,2019-12-15,1 weeks,485.0,211000.0,30.0,309.0,0.044237652111667865,328.0,394.0,394.0,185000.0,6367.0,6985.0,72.0,166.0,245000.0,0.9610900635419406,37.0,14.402061855670107,0.048531490497879685
252912,2017-05-15,2017-05-21,1 weeks,639.0,206025.0,37.0,186.0,0.018906281764586298,466.0,833.0,833.0,209000.0,9151.0,9838.0,58.0,106.0,189900.0,0.9668942780006388,37.0,15.395931142410015,0.020325647470221832
252918,2017-12-25,2017-12-31,1 weeks,491.0,181800.0,30.0,66.0,0.008651199370821866,171.0,201.0,201.0,159950.0,7059.0,7629.0,88.0,278.0,199900.0,0.9433469950399388,55.0,15.537678207739306,0.009349766255843604
252927,2019-02-11,2019-02-17,1 weeks,337.0,181900.0,28.0,297.0,0.04376012965964344,252.0,584.0,584.0,215000.0,6294.0,6787.0,70.0,132.0,215000.0,0.9724445867113763,56.0,20.139465875370927,0.04718779790276454
252963,2018-08-06,2018-08-12,1 weeks,436.0,212000.0,32.5,421.0,0.056799784133837024,391.0,629.0,629.0,199850.0,6797.0,7412.0,58.0,152.0,220000.0,0.9580614834842792,29.0,17.0,0.061939090775342064
252965,2018-02-26,2018-03-04,1 weeks,564.0,185000.0,29.0,370.0,0.048347053443094215,323.0,737.0,737.0,219900.0,6845.0,7653.0,58.0,221.0,206000.0,0.973284690220174,66.0,13.569148936170215,0.054054054054054064
252967,2019-07-01,2019-07-07,1 weeks,319.0,230000.0,31.0,304.0,0.03824861600402617,292.0,471.0,471.0,199900.0,7459.0,7948.0,55.0,127.0,240000.0,0.9488313221235054,38.0,24.915360501567392,0.0407561335299638
252968,2017-05-08,2017-05-14,1 weeks,483.0,190000.0,36.0,157.0,0.01609266092660927,492.0,821.0,821.0,204900.0,9044.0,9756.0,58.0,117.0,189900.0,0.9290023949062259,34.0,20.19875776397516,0.017359575409111015
